Time,Station,Temperature,Moisture,Light,Wind Direction,PM2.5,PM10,CO,NOx,SO2
31/08/2023 21:53:00,SVDT1,26.5,98.4,0,140,1,2.1,2,0,0
31/08/2023 21:52:00,SVDT1,26.5,98.4,0,165,1.2,2.3,2,0,0
31/08/2023 21:51:00,SVDT1,26.5,98.4,0,88,1.7,2.6,2,0,0
31/08/2023 21:50:00,SVDT1,26.5,98.3,0,111,1.5,3,2,0,0
31/08/2023 21:49:00,SVDT1,26.5,98.3,0,104,0.7,0.8,2,0,0
31/08/2023 21:48:00,SVDT1,26.5,98.3,0,210,1.3,2,2,0,0
31/08/2023 21:47:00,SVDT1,26.5,98.3,0,144,1.7,3.8,2,0,0
31/08/2023 21:46:00,SVDT1,26.6,98.3,0,203,1.4,2.3,2,0,0
31/08/2023 21:45:00,SVDT1,26.6,98.3,0,50,1.1,3.3,2,0,0
31/08/2023 21:44:00,SVDT1,26.6,98.3,0,234,1.3,12.3,2,0,0
31/08/2023 21:43:00,SVDT1,26.6,98.3,0,96,1.6,3.7,2,0,0
31/08/2023 21:42:00,SVDT1,26.6,98.3,0,83,1.4,1.9,2,0,0
31/08/2023 21:41:00,SVDT1,26.6,98.4,0,197,1.2,2.6,2,0,0
31/08/2023 21:40:00,SVDT1,26.6,98.3,0,148,1.2,5.4,2,0,0
31/08/2023 21:39:00,SVDT1,26.6,98.4,0,304,1.5,4.8,2,0,0
31/08/2023 21:38:00,SVDT1,26.6,98.4,0,134,1.4,6.9,2,0,0
31/08/2023 21:37:00,SVDT1,26.6,98.4,0,260,1.3,4.8,2,0,0
31/08/2023 21:36:00,SVDT1,26.6,98.5,0,78,1,4.1,2,0,0
31/08/2023 21:35:00,SVDT1,26.6,98.5,0,137,1.3,3.7,2,0,0
31/08/2023 21:34:00,SVDT1,26.6,98.5,0,69,1.6,8.5,2,0,0
31/08/2023 21:33:00,SVDT1,26.6,98.5,0,241,1.1,3.3,2,0,0
31/08/2023 21:32:00,SVDT1,26.6,98.5,0,182,1.4,3,2,0,0
31/08/2023 21:31:00,SVDT1,26.7,98.6,0,95,1.7,6.9,2,0,0
31/08/2023 21:30:00,SVDT1,26.6,98.5,0,252,1.9,18.3,2,0,0
31/08/2023 21:29:00,SVDT1,26.6,98.6,0,194,0.9,4,2,0,0
31/08/2023 21:28:00,SVDT1,26.6,98.6,0,275,1.4,2.5,2,0,0
31/08/2023 21:27:00,SVDT1,26.6,98.6,0,232,1.2,1.7,2,0,0
31/08/2023 21:26:00,SVDT1,26.6,98.6,0,214,1.7,5.8,2,0,0
31/08/2023 21:25:00,SVDT1,26.7,98.6,0,290,1.8,5.3,2,0,0
31/08/2023 21:24:00,SVDT1,26.6,98.6,0,171,1.3,5.8,2,0,0
31/08/2023 21:23:00,SVDT1,26.7,98.7,0,76,0.9,1.6,2,0,0
31/08/2023 21:22:00,SVDT1,26.6,98.7,0,85,1.5,7.3,2,0,0
31/08/2023 21:21:00,SVDT1,26.6,98.7,0,248,1.5,3.2,2,0,0
31/08/2023 21:20:00,SVDT1,26.6,98.7,0,177,1.3,4.5,2,0,0
31/08/2023 21:19:00,SVDT1,26.6,98.7,0,112,1.2,1.7,2,0,0
31/08/2023 21:18:00,SVDT1,26.6,98.7,0,206,1.1,2.3,2,0,0
31/08/2023 21:17:00,SVDT1,26.6,98.7,0,137,1.6,5,2,0,0
